tt_id;tree_type;jan;feb;mar;apr;may;jun;jul;aug;sep;okt;nov;dez
1;Hasel;0.33;0.66;1;0.66;0.33;0;0;0;0;0;0;0.33
2;Erle;0.33;0.66;1;0.66;0.33;0.33;0;0;0;0;0;0.33
3;Pappel;0;0.33;1;1;0.33;0;0;0;0;0;0;0
4;Weide;0;0.33;0.66;1;0.66;0.33;0;0;0;0;0;0
5;Esche;0;0.33;0.33;1;0.33;0.33;0;0;0;0;0;0
6;Hainbuche;0;0.33;0.33;1;0.66;0.33;0;0;0;0;0;0
7;Birke;0;0.33;0.33;1;0.66;0.33;0.33;0.33;0;0;0;0
8;Buche;0;0;0.33;1;0.66;0.33;0;0;0;0;0;0
9;Eiche;0;0.33;0.33;0.66;1;0.33;0.33;0;0;0;0;0
10;Kiefer;0;0;0.33;0.33;1;0.66;0.33;0.33;0;0;0;0
11;Ahorn;0;0.33;0.66;1;1;0.66;0.33;0;0;0;0;0
12;Eibe;0;0.33;0.66;1;1;0.66;0.33;0;0;0;0;0
13;Flieder;0;0;0.33;1;1;0.33;0;0;0;0;0;0
14;Holunder;0;0;0;0.33;0.66;1;1;0.66;0.33;0;0;0
15;Kastanie;0;0;0;0.33;1;1;0.33;0;0;0;0;0
16;Linde;0;0;0;0;0.33;1;1;0.33;0;0;0;0
17;Tanne;0;0;0;0.33;0.66;1;0.33;0;0;0;0;0
18;Ulme;0;0.33;1;1;0.33;0;0;0;0;0;0;0
19;Walnuss;0;0;0.33;0.66;1;0.66;0.33;0;0;0;0;0
20;Goetterbaum;0;0;0;0;0;0;1;1;0;0;0;0
21;Kirsche;0;0;0;1;1;0;0;0;0;0;0;0
22;Pflaume;0;0;1;1;1;1;0;0;0;0;0;0
23;Robinie;0;0;0;0;1;1;0;0;0;0;0;0
24;Schlafbaum;0;0;0;0;0;0;1;1;0;0;0;0
25;Schnurbaum;0;0;0;0;0;0;1;1;0;0;0;0
26;Zeder;0;0;0;0;0;0;0;0;1;1;0;0
27;Zypresse;0;0;1;1;1;0;0;0;0;0;0;0
28;Apfel;0;0;0;1;1;0;0;0;0;0;0;0
29;Birne;0;0;0;1;1;0;0;0;0;0;0;0
30;Buchs;0;0;1;1;0;0;0;0;0;0;0;0
