Birke			= Birch
Erle            = Alder
Hasel           = Hazel
                
Ahorn           = Maple
Apfel           = Apple
Birne           = Pear
Buche           = Beech
Buchs           = Buchs
Eibe            = Yew
Eiche           = Oak
Esche           = Ash
Flieder         = Lilac
Goetterbaum     = Ailanthus
Holunder        = Elder
Kastanie        = Chestnut
Kiefer          = Pine
Kirsche         = Cherry
Linde           = Lime
Pflaume         = Plum
Robinie         = Robinie
Schlafbaum      = Sleeping-Tree
Schnur          = Schnur
Tanne           = Fir
Ulme            = Elm
Walnuss         = Walnut
Weide           = Pasture
Zeder           = Cedar
Zypresse        = Cypress






Goetterbaum     = Ailanthus
Apfel           = Apple
Esche           = Ash
Buche           = Beech
Buchs           = Buchs
Kirsche         = Cherry
Kastanie        = Chestnut
Zeder           = Cedar
Zypresse        = Cypress
Holunder        = Elder
Ulme            = Elm
Tanne           = Fir
Eibe            = Yew
Flieder         = Lilac
Linde           = Lime
Ahorn           = Maple
Eiche           = Oak
Weide           = Pasture
Birne           = Pear
Kiefer          = Pine
Pflaume         = Plum
Robinie         = Robinie
Schnur          = Schnur
Schlafbaum      = Sleeping-Tree
Walnuss         = Walnut
